15,11,29,22,8,5,18,28,5,7,20,30,0,8,10,30,10,16
0,6,10,3,8,28,30,28,18,9,6,8,3,28,7,10,21,30
22,10,29,12,21,14,17,26,1,29,26,29,28,3,0,29,17,6
30,13,3,12,26,0,14,6,17,24,7,28,13,0,17,9,6,16
1,23,22,21,5,0,0,30,20,4,3,28,22,10,13,26,3,28
15,19,22,15,5,5,11,2,4,1,23,0,31,17,31,14,29,14
0,31,21,3,7,16,31,21,15,0,29,21,16,27,0,16,17,23
6,28,4,3,2,17,9,28,19,23,27,19,22,10,23,0,9,11
8,25,15,2,18,14,11,19,13,4,27,21,23,16,13,3,4,11
17,19,7,7,18,18,14,12,31,1,30,29,4,15,25,4,13,13
4,18,29,31,13,9,10,7,11,21,21,14,6,4,21,3,15,30
11,16,0,15,30,5,8,13,2,26,7,24,0,16,25,26,6,24
26,13,20,9,8,5,28,8,17,1,9,23,22,14,17,13,28,16
2,28,20,15,31,25,30,10,22,8,26,0,7,6,13,28,4,13
23,2,12,5,19,9,26,19,9,17,27,4,13,6,17,19,2,4
0,29,29,31,22,28,15,26,10,28,27,14,11,18,12,29,22,3
7,21,0,4,31,23,27,6,8,16,24,12,3,13,30,3,6,18
14,25,17,8,23,8,25,3,31,1,16,27,24,19,15,6,29,23
